,LL,LS,SLA,LDMC,future,actual,Hmax,Bmean,Lth,LNC,PL,SPL,Chl,SSD,TDMC,WCsat,SS,area.atual,area.futuro,AUC.med,taxa.omiss,AIC.var,AIC,diference
Amburana cearensis,5,7546.07,22.6,282.845,310932,268112,7.5,0.027253266,0.15,28.17,15.45,2.15,46.68,0.476666667,442.6266667,132.7166667,1.8,661214,969562,0.73294523,0.07717446,28.09958353,5598.120595,0.148169435
Anadenanthera colubrina,9,4106.916,12.722,575.21,349617,288899,13.71,0.118907222,0.0625,28.98,17.03,1.21,22.38,0.65,580.7375,74.94,1.5,653199,329580,0.804184368,0.06417493,27.01020452,12372.52589,0.190761124
Aspidosperma multiflorum,,1446.69,15.56,419.26,547803,494636,11.23,0.103,0.16,22.26, , , ,0.59,582.9,72.1,0.67,529198,911823,0.711806304,0.214285714,2.13644384,777.6654298,0.102093595
Aspidosperma pyrifolium,7,2088.059503,14.19917836,338.255,289533,262027,9,0.023648682,0.274166667,21.335,10.9575,1.593333333,42.2025,0.650616348,596.968,68.04,4,653057,1005568,0.789244343,0.088461142,3.131749283,10522.89209,0.099821728
Astronium urundeuva,,8137.8,9.39,454,279055,201658,14.34,0.2865,0.155,19.68,33.99, ,48.4,0.6,562.525,78.375,0.5,697475,409742,0.71297703,0.137931034,0,6315.392869,0.324835702
Bauhinia cheilantha,5,5593.295,24.8075,417.6933333,142223,159716,8.92,0.01475,0.215,30.31,19.63666667,2.365,39.18333333,0.69,610.82,65.5225,0.5,574093,469280,0.762694819,125,32.30062087,5951.386077,-0.11600099
Bauhinia pentandra,,1878.1,21.18,292.86,194201,110673,5, ,0.14, ,18.91,6.44,48.9,0.56,542,84.76,1,628934,1015680,0.779228041,0.09454023,26.04297808,3133.475923,0.562313798
Cenostigma bracteosum,6,10998.66,15.0125,523.39,332671,303439,9.67,0.054,0.13,25.1,24.13333333,1.343333333,52.44,0.702,621.94,62.935,2,747844,980248,0.661938044,0.138157895,7.510447829,2004.728011,0.091973412
Chloroleucon dumosum,,1753.885,28.265,402.95,278223,256168,12.88,0.07,0.18,40.55,14.28, ,26.23,0.625,628.06,60.4,0.5,511675,369373,0.7938071,0.052777778,0,1053.518009,0.082589471
Cnidoscolus quercifolius,,2625.96,22.53,186.19,398241,314239,9.32,0.098,0.23, ,19.42,1.85,62.4,0.53,475.05,112.12,1.6,454019,914245,0.752536422,0.158333333,0,1643.752473,0.236903507
Combretum leprosum,7,6432.473333,18.12333333,386.84,293540,246230,11.25,0.0112,0.2075,20.84333333,9.455,985,39.35,0.556,523.3775,93.38,1.4,368144,471578,0.849080268,0.057692308,7.608523452,4092.320373,0.175747858
Commiphora leptophloeos,4,1763.077499,18.05704166,266.195,249204,241878,7.82,0.072249421,0.184611111,20.51,19.68,6.86,44.815,0.322307002,290.24,261.7975,1.2,657399,679262,0.761880257,0.091269841,5.364733251,6828.432862,0.029838371
Cordia oncocalyx,5,4256.07,26.475,314.695,115377,109598,11.1,0.191333333,0.156666667,30.32,8.475,2.24,35.725,0.543333333,565.9666667,77.81333333,2.1,178570,51548,0.884566528,0.183333333,781.3801905,1774.003202,0.051385901
Cordia trichotoma,4,2277.230896,15.42160896,339.38,241818,291170,6.8,0.075019973,0.289375, , , ,40.43,0.601970635,614.43,63.17,0.9,477635,156411,0.743170914,0.226538462,67.55764341,2782.351201,-0.185721912
Croton blanchetianus,4,3388.085,22.02,384.8033333,168735,172293,7.57,0.003877377,0.178333333,23.8475,15.77,2.095,35.70333333,0.614285714,604.58,67.12666667,0.6,630845,690767,0.682076406,0.169557416,83.91237204,8266.225416,-0.020867079
Croton heliotropiifolius,,2245.920309,28.70370309,284.63,324760,300941,2.52,0.003249545,0.241071429,38.08,23.81, ,43.21,0.716876651,688.21,46.35,0.4,609866,967358,0.737787289,0.106837607,49.74550442,12639.87005,0.076172216
Cynophalla flexuosa,12,2171.578239,5.532349053,513.99,300004,283009,8.43,0.038403203,0.395208333,24.44,7.83, ,60.87,0.58195743,525.62,91.31,0.8,588322,377510,0.713808795,0.083333333,13.47228455,4882.224996,0.058317109
Erythroxylum pungens,,529.46,15.21,763.56,140441,143311,3,0.52,0.12, ,4.11, ,67.63,0.78,617.07,62.19,0.892,423852,868329,0.880531154,0.047619048,31.46272815,2190.404368,-0.020229622
Handroanthus impetiginosus,,13286.86379,16.18899794,425.79,242082,234286,10.64,0.0145,0.163,30.965,78.29,1.04,50.14666667,0.654331854,623.5875,61.22,1,717995,940904,0.696874555,0.130849754,0,3098.355009,0.03273392
